instant,weathersit_1,weathersit_2,weathersit_3,weathersit_4
1,True,False,False,False
2,True,False,False,False
3,True,False,False,False
4,True,False,False,False
5,True,False,False,False
6,False,True,False,False
7,True,False,False,False
8,True,False,False,False
9,True,False,False,False
10,True,False,False,False
11,True,False,False,False
12,True,False,False,False
13,True,False,False,False
14,False,True,False,False
15,False,True,False,False
16,False,True,False,False
17,False,True,False,False
18,False,True,False,False
19,False,False,True,False
20,False,False,True,False
21,False,True,False,False
22,False,True,False,False
23,False,True,False,False
24,False,True,False,False
25,False,True,False,False
26,False,True,False,False
27,False,True,False,False
28,False,True,False,False
29,False,True,False,False
30,False,False,True,False
31,False,True,False,False
32,False,False,True,False
33,False,True,False,False
34,False,True,False,False
35,False,True,False,False
36,False,True,False,False
37,False,True,False,False
38,False,False,True,False
39,False,False,True,False
40,False,False,True,False
41,True,False,False,False
42,False,True,False,False
43,True,False,False,False
44,True,False,False,False
45,True,False,False,False
46,True,False,False,False
47,True,False,False,False
48,True,False,False,False
49,True,False,False,False
50,True,False,False,False
51,True,False,False,False
52,True,False,False,False
53,True,False,False,False
54,True,False,False,False
55,True,False,False,False
56,True,False,False,False
57,True,False,False,False
58,True,False,False,False
59,True,False,False,False
60,True,False,False,False
61,True,False,False,False
62,True,False,False,False
63,True,False,False,False
64,True,False,False,False
65,True,False,False,False
66,True,False,False,False
67,True,False,False,False
68,True,False,False,False
69,True,False,False,False
70,True,False,False,False
71,True,False,False,False
72,True,False,False,False
73,True,False,False,False
74,True,False,False,False
75,True,False,False,False
76,True,False,False,False
77,True,False,False,False
78,True,False,False,False
79,False,True,False,False
80,True,False,False,False
81,True,False,False,False
82,True,False,False,False
83,True,False,False,False
84,True,False,False,False
85,True,False,False,False
86,True,False,False,False
87,True,False,False,False
88,True,False,False,False
89,True,False,False,False
90,True,False,False,False
91,True,False,False,False
92,True,False,False,False
93,True,False,False,False
94,True,False,False,False
95,True,False,False,False
96,True,False,False,False
97,True,False,False,False
98,True,False,False,False
99,True,False,False,False
100,True,False,False,False
101,True,False,False,False
102,True,False,False,False
103,True,False,False,False
104,True,False,False,False
105,True,False,False,False
106,True,False,False,False
107,True,False,False,False
108,True,False,False,False
109,True,False,False,False
110,True,False,False,False
111,True,False,False,False
112,True,False,False,False
113,True,False,False,False
114,True,False,False,False
115,True,False,False,False
116,True,False,False,False
117,True,False,False,False
118,True,False,False,False
119,False,True,False,False
120,False,True,False,False
121,False,True,False,False
122,False,True,False,False
123,True,False,False,False
124,False,True,False,False
125,True,False,False,False
126,True,False,False,False
127,True,False,False,False
128,True,False,False,False
129,True,False,False,False
130,True,False,False,False
131,True,False,False,False
132,True,False,False,False
133,True,False,False,False
134,True,False,False,False
135,True,False,False,False
136,False,True,False,False
137,False,True,False,False
138,False,True,False,False
139,False,True,False,False
140,False,True,False,False
141,False,True,False,False
142,False,True,False,False
143,False,False,True,False
144,False,True,False,False
145,True,False,False,False
146,True,False,False,False
147,True,False,False,False
148,True,False,False,False
149,False,True,False,False
150,False,True,False,False
151,False,True,False,False
152,False,True,False,False
153,False,True,False,False
154,False,True,False,False
155,False,True,False,False
156,True,False,False,False
157,True,False,False,False
158,True,False,False,False
159,True,False,False,False
160,False,True,False,False
161,False,True,False,False
162,False,True,False,False
163,False,True,False,False
164,False,True,False,False
165,False,False,True,False
166,False,False,True,False
167,False,True,False,False
168,False,True,False,False
169,False,True,False,False
170,False,False,True,False
171,False,False,True,False
172,False,True,False,False
173,False,True,False,False
174,False,True,False,False
175,True,False,False,False
176,True,False,False,False
177,True,False,False,False
178,True,False,False,False
179,True,False,False,False
180,True,False,False,False
181,True,False,False,False
182,True,False,False,False
183,True,False,False,False
184,True,False,False,False
185,True,False,False,False
186,True,False,False,False
187,True,False,False,False
188,True,False,False,False
189,True,False,False,False
190,True,False,False,False
191,True,False,False,False
192,True,False,False,False
193,True,False,False,False
194,True,False,False,False
195,True,False,False,False
196,True,False,False,False
197,True,False,False,False
198,True,False,False,False
199,True,False,False,False
200,True,False,False,False
201,True,False,False,False
202,True,False,False,False
203,True,False,False,False
204,True,False,False,False
