instant,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
1,False,False,False,False,False,False,True
2,False,False,False,False,False,False,True
3,False,False,False,False,False,False,True
4,False,False,False,False,False,False,True
5,False,False,False,False,False,False,True
6,False,False,False,False,False,False,True
7,False,False,False,False,False,False,True
8,False,False,False,False,False,False,True
9,False,False,False,False,False,False,True
10,False,False,False,False,False,False,True
11,False,False,False,False,False,False,True
12,False,False,False,False,False,False,True
13,False,False,False,False,False,False,True
14,False,False,False,False,False,False,True
15,False,False,False,False,False,False,True
16,False,False,False,False,False,False,True
17,False,False,False,False,False,False,True
18,False,False,False,False,False,False,True
19,False,False,False,False,False,False,True
20,False,False,False,False,False,False,True
21,False,False,False,False,False,False,True
22,False,False,False,False,False,False,True
23,False,False,False,False,False,False,True
24,False,False,False,False,False,False,True
25,True,False,False,False,False,False,False
26,True,False,False,False,False,False,False
27,True,False,False,False,False,False,False
28,True,False,False,False,False,False,False
29,True,False,False,False,False,False,False
30,True,False,False,False,False,False,False
31,True,False,False,False,False,False,False
32,True,False,False,False,False,False,False
33,True,False,False,False,False,False,False
34,True,False,False,False,False,False,False
35,True,False,False,False,False,False,False
36,True,False,False,False,False,False,False
37,True,False,False,False,False,False,False
38,True,False,False,False,False,False,False
39,True,False,False,False,False,False,False
40,True,False,False,False,False,False,False
41,True,False,False,False,False,False,False
42,True,False,False,False,False,False,False
43,True,False,False,False,False,False,False
44,True,False,False,False,False,False,False
45,True,False,False,False,False,False,False
46,True,False,False,False,False,False,False
47,True,False,False,False,False,False,False
48,False,True,False,False,False,False,False
49,False,True,False,False,False,False,False
50,False,True,False,False,False,False,False
51,False,True,False,False,False,False,False
52,False,True,False,False,False,False,False
53,False,True,False,False,False,False,False
54,False,True,False,False,False,False,False
55,False,True,False,False,False,False,False
56,False,True,False,False,False,False,False
57,False,True,False,False,False,False,False
58,False,True,False,False,False,False,False
59,False,True,False,False,False,False,False
60,False,True,False,False,False,False,False
61,False,True,False,False,False,False,False
62,False,True,False,False,False,False,False
63,False,True,False,False,False,False,False
64,False,True,False,False,False,False,False
65,False,True,False,False,False,False,False
66,False,True,False,False,False,False,False
67,False,True,False,False,False,False,False
68,False,True,False,False,False,False,False
69,False,True,False,False,False,False,False
70,False,False,True,False,False,False,False
71,False,False,True,False,False,False,False
72,False,False,True,False,False,False,False
73,False,False,True,False,False,False,False
74,False,False,True,False,False,False,False
75,False,False,True,False,False,False,False
76,False,False,True,False,False,False,False
77,False,False,True,False,False,False,False
78,False,False,True,False,False,False,False
79,False,False,True,False,False,False,False
80,False,False,True,False,False,False,False
81,False,False,True,False,False,False,False
82,False,False,True,False,False,False,False
83,False,False,True,False,False,False,False
84,False,False,True,False,False,False,False
85,False,False,True,False,False,False,False
86,False,False,True,False,False,False,False
87,False,False,True,False,False,False,False
