instant,workingday_0,workingday_1
1,True,False
2,True,False
3,True,False
4,True,False
5,True,False
6,True,False
7,True,False
8,True,False
9,True,False
10,True,False
11,True,False
12,True,False
13,True,False
14,True,False
15,True,False
16,True,False
17,True,False
18,True,False
19,True,False
20,True,False
21,True,False
22,True,False
23,True,False
24,True,False
25,True,False
26,True,False
27,True,False
28,True,False
29,True,False
30,True,False
31,True,False
32,True,False
33,True,False
34,True,False
35,True,False
36,True,False
37,True,False
38,True,False
39,True,False
40,True,False
41,True,False
42,True,False
43,True,False
44,True,False
45,True,False
46,True,False
47,True,False
48,False,True
49,False,True
50,False,True
51,False,True
52,False,True
53,False,True
54,False,True
55,False,True
56,False,True
57,False,True
58,False,True
59,False,True
60,False,True
61,False,True
62,False,True
63,False,True
64,False,True
65,False,True
66,False,True
67,False,True
68,False,True
69,False,True
70,False,True
71,False,True
72,False,True
73,False,True
74,False,True
75,False,True
76,False,True
77,False,True
78,False,True
79,False,True
80,False,True
81,False,True
82,False,True
83,False,True
84,False,True
85,False,True
86,False,True
87,False,True
88,False,True
89,False,True
90,False,True
91,False,True
92,False,True
93,False,True
94,False,True
95,False,True
96,False,True
97,False,True
98,False,True
99,False,True
100,False,True
101,False,True
102,False,True
103,False,True
104,False,True
105,False,True
106,False,True
107,False,True
108,False,True
109,False,True
110,False,True
111,False,True
112,False,True
113,False,True
114,False,True
115,False,True
116,False,True
117,False,True
118,False,True
119,False,True
120,False,True
121,False,True
122,False,True
123,False,True
124,False,True
125,False,True
126,False,True
127,False,True
128,False,True
129,False,True
130,False,True
131,False,True
132,False,True
133,False,True
134,False,True
135,False,True
136,False,True
137,False,True
138,False,True
139,False,True
140,False,True
141,False,True
142,False,True
143,False,True
144,False,True
145,False,True
146,False,True
147,False,True
148,False,True
149,False,True
150,False,True
151,False,True
152,False,True
153,False,True
154,False,True
155,False,True
156,False,True
157,False,True
158,False,True
159,False,True
160,False,True
161,False,True
162,True,False
163,True,False
164,True,False
165,True,False
166,True,False
167,True,False
168,True,False
169,True,False
170,True,False
171,True,False
172,True,False
173,True,False
174,True,False
175,True,False
176,True,False
177,True,False
178,True,False
179,True,False
180,True,False
181,True,False
182,True,False
183,True,False
184,True,False
185,True,False
186,True,False
187,True,False
188,True,False
189,True,False
190,True,False
191,True,False
192,True,False
193,True,False
194,True,False
195,True,False
196,True,False
197,True,False
198,True,False
199,True,False
200,True,False
201,True,False
202,True,False
203,True,False
204,True,False
205,True,False
206,True,False
207,True,False
208,True,False
209,True,False
210,False,True
211,False,True
212,False,True
213,False,True
214,False,True
215,False,True
216,False,True
217,False,True
218,False,True
219,False,True
220,False,True
221,False,True
222,False,True
223,False,True
224,False,True
225,False,True
226,False,True
227,False,True
228,False,True
229,False,True
230,False,True
231,False,True
232,False,True
233,False,True
234,False,True
235,False,True
236,False,True
237,False,True
238,False,True
239,False,True
240,False,True
241,False,True
242,False,True
243,False,True
244,False,True
245,False,True
246,False,True
247,False,True
248,False,True
249,False,True
250,False,True
251,False,True
252,False,True
253,False,True
254,False,True
255,False,True
256,False,True
257,False,True
258,False,True
259,False,True
260,False,True
261,False,True
262,False,True
263,False,True
264,False,True
265,False,True
266,False,True
267,False,True
268,False,True
269,False,True
270,False,True
271,False,True
272,False,True
273,False,True
274,False,True
275,False,True
276,False,True
277,False,True
278,False,True
279,False,True
280,False,True
281,False,True
282,False,True
283,False,True
284,False,True
285,False,True
286,False,True
287,False,True
288,False,True
289,False,True
290,False,True
291,False,True
292,False,True
293,False,True
294,False,True
295,False,True
296,False,True
297,False,True
298,False,True
299,False,True
300,False,True
301,False,True
302,False,True
303,False,True
304,False,True
305,False,True
306,False,True
307,False,True
308,False,True
309,False,True
310,False,True
311,False,True
312,False,True
313,False,True
314,False,True
315,False,True
316,False,True
317,False,True
318,False,True
319,False,True
320,False,True
321,False,True
322,False,True
323,False,True
324,False,True
325,True,False
326,True,False
327,True,False
328,True,False
329,True,False
330,True,False
331,True,False
332,True,False
333,True,False
334,True,False
335,True,False
336,True,False
337,True,False
338,True,False
339,True,False
340,True,False
341,True,False
342,True,False
343,True,False
344,True,False
345,True,False
346,True,False
347,True,False
348,True,False
349,True,False
350,True,False
351,True,False
352,True,False
353,True,False
354,True,False
355,True,False
356,True,False
357,True,False
358,True,False
359,True,False
360,True,False
361,True,False
362,True,False
363,True,False
364,True,False
365,True,False
366,True,False
367,True,False
368,True,False
369,True,False
370,True,False
371,True,False
372,True,False
373,True,False
374,True,False
375,True,False
376,True,False
377,True,False
378,True,False
379,True,False
380,True,False
381,True,False
382,True,False
383,True,False
384,True,False
385,True,False
386,True,False
387,True,False
388,True,False
389,True,False
390,True,False
391,True,False
392,True,False
393,True,False
394,True,False
395,True,False
396,True,False
397,False,True
398,False,True
399,False,True
400,False,True
401,False,True
402,False,True
403,False,True
404,False,True
405,False,True
406,False,True
407,False,True
408,False,True
409,False,True
410,False,True
411,False,True
412,False,True
413,False,True
414,False,True
415,False,True
416,False,True
417,False,True
418,False,True
419,False,True
420,False,True
421,False,True
422,False,True
423,False,True
424,False,True
425,False,True
426,False,True
427,False,True
428,False,True
429,False,True
430,False,True
431,False,True
432,False,True
433,False,True
434,False,True
435,False,True
436,False,True
437,False,True
438,False,True
439,False,True
440,False,True
441,False,True
442,False,True
443,False,True
444,False,True
445,False,True
446,False,True
447,False,True
448,False,True
449,False,True
450,False,True
451,False,True
452,False,True
453,False,True
454,False,True
455,False,True
456,False,True
457,False,True
458,False,True
459,False,True
460,False,True
461,False,True
462,False,True
463,False,True
464,False,True
465,False,True
466,False,True
467,False,True
468,False,True
469,False,True
470,False,True
471,False,True
472,False,True
473,False,True
474,False,True
475,False,True
476,False,True
477,False,True
478,False,True
479,False,True
480,True,False
481,True,False
482,True,False
483,True,False
484,True,False
485,True,False
486,True,False
487,True,False
488,True,False
489,True,False
490,True,False
491,True,False
492,True,False
493,True,False
494,True,False
495,True,False
496,True,False
497,True,False
498,True,False
499,True,False
500,True,False
501,True,False
502,True,False
503,True,False
504,True,False
505,True,False
506,True,False
507,True,False
508,True,False
509,True,False
510,True,False
511,True,False
512,True,False
513,True,False
514,True,False
515,True,False
516,True,False
517,True,False
518,True,False
519,True,False
520,True,False
521,True,False
522,True,False
523,True,False
524,True,False
525,True,False
526,False,True
527,False,True
528,False,True
529,False,True
530,False,True
531,False,True
532,False,True
533,False,True
534,False,True
535,False,True
536,False,True
537,False,True
538,False,True
539,False,True
540,False,True
541,False,True
542,False,True
543,False,True
544,False,True
545,False,True
546,False,True
547,False,True
548,False,True
549,False,True
550,False,True
551,False,True
552,False,True
553,False,True
554,False,True
555,False,True
556,False,True
557,False,True
558,False,True
559,False,True
560,False,True
561,False,True
562,False,True
563,False,True
564,False,True
565,False,True
566,False,True
567,False,True
568,False,True
569,False,True
570,False,True
571,False,True
572,False,True
573,False,True
574,False,True
575,False,True
576,False,True
577,False,True
578,False,True
579,False,True
580,False,True
581,False,True
582,False,True
583,False,True
584,False,True
585,False,True
586,False,True
587,False,True
588,False,True
589,False,True
590,False,True
591,False,True
592,False,True
593,False,True
594,False,True
595,False,True
596,False,True
597,False,True
598,False,True
599,False,True
600,False,True
601,False,True
602,False,True
603,False,True
604,False,True
605,False,True
606,False,True
607,False,True
608,False,True
609,False,True
610,False,True
611,False,True
612,False,True
613,False,True
614,False,True
615,False,True
616,False,True
617,False,True
618,False,True
619,True,False
620,True,False
621,True,False
622,True,False
623,True,False
624,True,False
625,True,False
626,True,False
627,True,False
628,True,False
629,True,False
630,True,False
631,True,False
632,True,False
633,True,False
634,True,False
635,True,False
636,True,False
637,True,False
638,True,False
639,True,False
640,True,False
641,True,False
642,True,False
643,True,False
644,True,False
645,True,False
646,True,False
647,True,False
648,True,False
649,True,False
650,True,False
651,True,False
652,True,False
653,True,False
654,True,False
655,True,False
656,True,False
657,True,False
658,True,False
659,True,False
660,True,False
661,True,False
662,True,False
663,True,False
664,True,False
665,False,True
666,False,True
667,False,True
668,False,True
669,False,True
670,False,True
671,False,True
672,False,True
673,False,True
674,False,True
675,False,True
676,False,True
677,False,True
678,False,True
679,False,True
680,False,True
681,False,True
682,False,True
683,False,True
684,False,True
685,False,True
686,False,True
687,False,True
688,False,True
689,False,True
690,False,True
691,False,True
692,False,True
693,False,True
694,False,True
695,False,True
696,False,True
697,False,True
698,False,True
699,False,True
700,False,True
701,False,True
702,False,True
703,False,True
704,False,True
705,False,True
706,False,True
707,False,True
708,False,True
709,False,True
710,False,True
711,False,True
712,False,True
713,False,True
714,False,True
715,False,True
716,False,True
717,False,True
718,False,True
719,False,True
720,False,True
721,False,True
722,False,True
723,False,True
724,False,True
725,False,True
726,False,True
727,False,True
728,False,True
729,False,True
730,False,True
731,False,True
732,False,True
733,False,True
734,False,True
735,False,True
736,False,True
737,False,True
738,False,True
739,False,True
740,False,True
741,False,True
742,False,True
743,False,True
744,False,True
745,False,True
746,False,True
747,False,True
748,False,True
749,False,True
750,False,True
751,False,True
752,False,True
753,False,True
754,False,True
755,False,True
756,False,True
757,False,True
758,False,True
759,False,True
760,False,True
761,False,True
762,False,True
763,False,True
764,False,True
765,False,True
766,False,True
767,False,True
768,False,True
769,False,True
770,False,True
771,False,True
772,False,True
773,False,True
774,False,True
775,False,True
776,False,True
777,False,True
778,False,True
779,False,True
780,False,True
781,False,True
782,True,False
783,True,False
784,True,False
785,True,False
786,True,False
787,True,False
788,True,False
789,True,False
790,True,False
791,True,False
792,True,False
793,True,False
794,True,False
795,True,False
796,True,False
797,True,False
798,True,False
799,True,False
800,True,False
801,True,False
802,True,False
803,True,False
804,True,False
805,True,False
806,True,False
807,True,False
808,True,False
809,True,False
810,True,False
811,True,False
812,True,False
813,True,False
814,True,False
815,True,False
816,True,False
817,True,False
818,True,False
819,True,False
820,True,False
821,True,False
822,True,False
823,True,False
824,True,False
825,True,False
826,True,False
827,True,False
828,True,False
829,True,False
830,False,True
831,False,True
832,False,True
833,False,True
834,False,True
835,False,True
836,False,True
837,False,True
838,False,True
839,False,True
840,False,True
841,False,True
842,False,True
843,False,True
844,False,True
845,False,True
846,False,True
847,False,True
848,False,True
849,False,True
850,False,True
851,False,True
852,False,True
853,False,True
854,False,True
855,False,True
856,False,True
857,False,True
858,False,True
859,False,True
860,False,True
861,False,True
862,False,True
863,False,True
864,False,True
865,False,True
866,False,True
867,False,True
868,False,True
869,False,True
870,False,True
871,False,True
872,False,True
873,False,True
874,False,True
875,False,True
876,False,True
877,False,True
878,False,True
879,False,True
880,False,True
881,False,True
882,False,True
883,False,True
884,False,True
885,False,True
886,False,True
887,False,True
888,False,True
889,False,True
890,False,True
891,False,True
892,False,True
893,False,True
894,False,True
895,False,True
896,False,True
897,False,True
898,False,True
899,False,True
900,False,True
901,False,True
902,False,True
903,False,True
904,False,True
905,False,True
906,False,True
907,False,True
908,False,True
909,False,True
910,False,True
911,False,True
912,False,True
913,False,True
914,False,True
915,False,True
916,False,True
917,False,True
918,False,True
919,False,True
920,False,True
921,False,True
922,False,True
923,False,True
924,False,True
925,False,True
926,False,True
927,False,True
928,False,True
929,False,True
930,False,True
931,False,True
932,False,True
933,False,True
934,False,True
935,False,True
936,False,True
937,False,True
938,False,True
939,False,True
940,False,True
941,False,True
942,False,True
943,False,True
944,False,True
945,False,True
946,True,False
947,True,False
948,True,False
949,True,False
950,True,False
951,True,False
952,True,False
953,True,False
954,True,False
955,True,False
956,True,False
957,True,False
958,True,False
959,True,False
960,True,False
961,True,False
962,True,False
963,True,False
964,True,False
965,True,False
966,True,False
967,True,False
968,True,False
969,True,False
970,True,False
971,True,False
972,True,False
973,True,False
974,True,False
975,True,False
976,True,False
977,True,False
978,True,False
979,True,False
980,True,False
981,True,False
982,True,False
983,True,False
984,True,False
985,True,False
986,True,False
987,True,False
988,True,False
989,True,False
990,True,False
991,True,False
992,True,False
993,False,True
994,False,True
995,False,True
996,False,True
997,False,True
998,False,True
999,False,True
1000,False,True
1001,False,True
1002,False,True
1003,False,True
1004,False,True
1005,False,True
1006,False,True
1007,False,True
1008,False,True
1009,False,True
1010,False,True
1011,False,True
1012,False,True
1013,False,True
1014,False,True
1015,False,True
1016,False,True
