instant,yr_0,yr_1
1,True,False
2,True,False
3,True,False
4,True,False
5,True,False
6,True,False
7,True,False
8,True,False
9,True,False
10,True,False
11,True,False
12,True,False
13,True,False
14,True,False
15,True,False
16,True,False
17,True,False
18,True,False
19,True,False
20,True,False
21,True,False
22,True,False
23,True,False
24,True,False
25,True,False
26,True,False
27,True,False
28,True,False
29,True,False
30,True,False
31,True,False
32,True,False
33,True,False
34,True,False
35,True,False
36,True,False
37,True,False
38,True,False
39,True,False
40,True,False
41,True,False
42,True,False
43,True,False
44,True,False
45,True,False
46,True,False
47,True,False
48,True,False
49,True,False
50,True,False
51,True,False
52,True,False
53,True,False
54,True,False
55,True,False
56,True,False
57,True,False
58,True,False
59,True,False
60,True,False
61,True,False
62,True,False
63,True,False
64,True,False
65,True,False
66,True,False
67,True,False
68,True,False
69,True,False
70,True,False
71,True,False
72,True,False
73,True,False
74,True,False
75,True,False
76,True,False
77,True,False
78,True,False
79,True,False
80,True,False
81,True,False
82,True,False
83,True,False
84,True,False
85,True,False
86,True,False
87,True,False
88,True,False
89,True,False
90,True,False
91,True,False
92,True,False
93,True,False
94,True,False
95,True,False
96,True,False
97,True,False
98,True,False
99,True,False
100,True,False
101,True,False
102,True,False
103,True,False
104,True,False
105,True,False
106,True,False
107,True,False
108,True,False
109,True,False
110,True,False
111,True,False
112,True,False
113,True,False
114,True,False
115,True,False
116,True,False
117,True,False
118,True,False
119,True,False
120,True,False
121,True,False
122,True,False
123,True,False
124,True,False
125,True,False
126,True,False
127,True,False
128,True,False
129,True,False
130,True,False
131,True,False
132,True,False
133,True,False
134,True,False
135,True,False
136,True,False
137,True,False
138,True,False
139,True,False
140,True,False
141,True,False
142,True,False
143,True,False
144,True,False
145,True,False
146,True,False
147,True,False
148,True,False
149,True,False
150,True,False
151,True,False
152,True,False
153,True,False
154,True,False
155,True,False
156,True,False
157,True,False
158,True,False
159,True,False
160,True,False
161,True,False
162,True,False
163,True,False
164,True,False
165,True,False
166,True,False
167,True,False
168,True,False
169,True,False
170,True,False
171,True,False
172,True,False
173,True,False
174,True,False
175,True,False
176,True,False
177,True,False
178,True,False
179,True,False
180,True,False
181,True,False
182,True,False
183,True,False
184,True,False
185,True,False
186,True,False
187,True,False
188,True,False
189,True,False
190,True,False
191,True,False
192,True,False
193,True,False
194,True,False
195,True,False
196,True,False
197,True,False
198,True,False
199,True,False
200,True,False
201,True,False
202,True,False
203,True,False
204,True,False
205,True,False
206,True,False
207,True,False
208,True,False
209,True,False
210,True,False
211,True,False
212,True,False
213,True,False
214,True,False
215,True,False
216,True,False
217,True,False
218,True,False
219,True,False
220,True,False
221,True,False
222,True,False
223,True,False
224,True,False
225,True,False
226,True,False
227,True,False
228,True,False
229,True,False
230,True,False
231,True,False
232,True,False
233,True,False
234,True,False
235,True,False
236,True,False
237,True,False
238,True,False
239,True,False
240,True,False
241,True,False
242,True,False
243,True,False
244,True,False
245,True,False
246,True,False
247,True,False
248,True,False
249,True,False
250,True,False
251,True,False
252,True,False
253,True,False
254,True,False
255,True,False
256,True,False
257,True,False
258,True,False
259,True,False
260,True,False
261,True,False
262,True,False
263,True,False
264,True,False
265,True,False
266,True,False
267,True,False
268,True,False
269,True,False
270,True,False
271,True,False
272,True,False
273,True,False
274,True,False
275,True,False
276,True,False
277,True,False
278,True,False
279,True,False
280,True,False
281,True,False
282,True,False
283,True,False
284,True,False
285,True,False
286,True,False
287,True,False
288,True,False
289,True,False
290,True,False
291,True,False
292,True,False
293,True,False
294,True,False
295,True,False
296,True,False
297,True,False
298,True,False
299,True,False
300,True,False
301,True,False
302,True,False
303,True,False
304,True,False
305,True,False
306,True,False
307,True,False
308,True,False
309,True,False
310,True,False
311,True,False
312,True,False
313,True,False
314,True,False
315,True,False
316,True,False
317,True,False
318,True,False
319,True,False
320,True,False
321,True,False
322,True,False
323,True,False
324,True,False
325,True,False
326,True,False
327,True,False
328,True,False
329,True,False
330,True,False
331,True,False
332,True,False
333,True,False
334,True,False
335,True,False
336,True,False
337,True,False
338,True,False
339,True,False
340,True,False
341,True,False
342,True,False
343,True,False
344,True,False
345,True,False
346,True,False
347,True,False
348,True,False
349,True,False
350,True,False
351,True,False
352,True,False
353,True,False
354,True,False
355,True,False
356,True,False
357,True,False
358,True,False
359,True,False
360,True,False
361,True,False
362,True,False
363,True,False
364,True,False
365,True,False
366,True,False
367,True,False
368,True,False
369,True,False
370,True,False
371,True,False
372,True,False
373,True,False
374,True,False
375,True,False
376,True,False
377,True,False
378,True,False
379,True,False
380,True,False
381,True,False
382,True,False
383,True,False
384,True,False
385,True,False
386,True,False
387,True,False
388,True,False
389,True,False
390,True,False
391,True,False
392,True,False
393,True,False
394,True,False
395,True,False
396,True,False
397,True,False
398,True,False
399,True,False
400,True,False
401,True,False
402,True,False
403,True,False
404,True,False
405,True,False
406,True,False
407,True,False
408,True,False
409,True,False
410,True,False
411,True,False
412,True,False
413,True,False
414,True,False
415,True,False
416,True,False
417,True,False
418,True,False
419,True,False
420,True,False
421,True,False
422,True,False
423,True,False
424,True,False
425,True,False
426,True,False
427,True,False
428,True,False
429,True,False
430,True,False
431,True,False
432,True,False
433,True,False
434,True,False
435,True,False
436,True,False
437,True,False
438,True,False
439,True,False
440,True,False
441,True,False
442,True,False
443,True,False
444,True,False
445,True,False
446,True,False
447,True,False
448,True,False
449,True,False
450,True,False
451,True,False
452,True,False
453,True,False
454,True,False
455,True,False
456,True,False
457,True,False
458,True,False
459,True,False
460,True,False
461,True,False
462,True,False
463,True,False
464,True,False
465,True,False
466,True,False
467,True,False
468,True,False
469,True,False
470,True,False
471,True,False
472,True,False
473,True,False
474,True,False
475,True,False
476,True,False
477,True,False
478,True,False
479,True,False
480,True,False
481,True,False
482,True,False
483,True,False
484,True,False
485,True,False
486,True,False
487,True,False
488,True,False
489,True,False
490,True,False
491,True,False
492,True,False
493,True,False
494,True,False
495,True,False
496,True,False
497,True,False
498,True,False
499,True,False
500,True,False
501,True,False
502,True,False
503,True,False
504,True,False
505,True,False
506,True,False
507,True,False
508,True,False
509,True,False
510,True,False
511,True,False
512,True,False
513,True,False
514,True,False
515,True,False
516,True,False
517,True,False
518,True,False
519,True,False
520,True,False
521,True,False
522,True,False
523,True,False
524,True,False
525,True,False
526,True,False
527,True,False
528,True,False
529,True,False
530,True,False
531,True,False
532,True,False
533,True,False
534,True,False
535,True,False
536,True,False
537,True,False
538,True,False
539,True,False
540,True,False
541,True,False
542,True,False
543,True,False
544,True,False
545,True,False
546,True,False
547,True,False
548,True,False
549,True,False
550,True,False
551,True,False
552,True,False
553,True,False
554,True,False
555,True,False
556,True,False
557,True,False
558,True,False
559,True,False
560,True,False
561,True,False
562,True,False
563,True,False
564,True,False
565,True,False
566,True,False
567,True,False
568,True,False
569,True,False
570,True,False
571,True,False
572,True,False
573,True,False
574,True,False
575,True,False
576,True,False
577,True,False
578,True,False
579,True,False
580,True,False
581,True,False
582,True,False
583,True,False
584,True,False
585,True,False
586,True,False
587,True,False
588,True,False
589,True,False
590,True,False
591,True,False
592,True,False
593,True,False
594,True,False
595,True,False
596,True,False
597,True,False
598,True,False
599,True,False
600,True,False
601,True,False
602,True,False
603,True,False
604,True,False
605,True,False
606,True,False
607,True,False
608,True,False
609,True,False
610,True,False
611,True,False
612,True,False
613,True,False
614,True,False
615,True,False
616,True,False
617,True,False
618,True,False
619,True,False
620,True,False
621,True,False
622,True,False
623,True,False
624,True,False
625,True,False
626,True,False
627,True,False
628,True,False
629,True,False
630,True,False
631,True,False
632,True,False
633,True,False
634,True,False
635,True,False
636,True,False
637,True,False
638,True,False
639,True,False
640,True,False
641,True,False
642,True,False
643,True,False
644,True,False
645,True,False
646,True,False
647,True,False
648,True,False
649,True,False
650,True,False
651,True,False
652,True,False
653,True,False
654,True,False
655,True,False
656,True,False
657,True,False
658,True,False
659,True,False
660,True,False
661,True,False
662,True,False
663,True,False
664,True,False
665,True,False
666,True,False
667,True,False
668,True,False
669,True,False
670,True,False
671,True,False
672,True,False
673,True,False
674,True,False
675,True,False
676,True,False
677,True,False
678,True,False
679,True,False
680,True,False
681,True,False
682,True,False
683,True,False
684,True,False
685,True,False
686,True,False
687,True,False
688,True,False
689,True,False
690,True,False
691,True,False
692,True,False
693,True,False
694,True,False
695,True,False
696,True,False
697,True,False
698,True,False
699,True,False
700,True,False
701,True,False
702,True,False
703,True,False
704,True,False
705,True,False
706,True,False
707,True,False
708,True,False
709,True,False
710,True,False
711,True,False
712,True,False
713,True,False
714,True,False
715,True,False
716,True,False
717,True,False
718,True,False
719,True,False
720,True,False
721,True,False
722,True,False
723,True,False
724,True,False
725,True,False
726,True,False
727,True,False
728,True,False
729,True,False
730,True,False
731,True,False
732,True,False
733,True,False
734,True,False
735,True,False
736,True,False
737,True,False
738,True,False
739,True,False
740,True,False
741,True,False
742,True,False
743,True,False
744,True,False
745,True,False
746,True,False
747,True,False
748,True,False
749,True,False
750,True,False
751,True,False
752,True,False
753,True,False
754,True,False
755,True,False
756,True,False
757,True,False
758,True,False
759,True,False
760,True,False
761,True,False
762,True,False
763,True,False
764,True,False
765,True,False
766,True,False
767,True,False
768,True,False
769,True,False
770,True,False
771,True,False
772,True,False
773,True,False
774,True,False
775,True,False
776,True,False
777,True,False
778,True,False
779,True,False
780,True,False
781,True,False
782,True,False
783,True,False
784,True,False
785,True,False
786,True,False
787,True,False
788,True,False
789,True,False
790,True,False
791,True,False
792,True,False
793,True,False
794,True,False
795,True,False
796,True,False
797,True,False
798,True,False
799,True,False
800,True,False
801,True,False
802,True,False
803,True,False
804,True,False
805,True,False
806,True,False
807,True,False
808,True,False
809,True,False
810,True,False
811,True,False
812,True,False
813,True,False
814,True,False
815,True,False
816,True,False
817,True,False
818,True,False
819,True,False
820,True,False
821,True,False
822,True,False
823,True,False
824,True,False
825,True,False
826,True,False
827,True,False
828,True,False
829,True,False
830,True,False
831,True,False
832,True,False
833,True,False
834,True,False
835,True,False
836,True,False
837,True,False
838,True,False
839,True,False
840,True,False
841,True,False
842,True,False
843,True,False
844,True,False
845,True,False
846,True,False
847,True,False
848,True,False
849,True,False
850,True,False
851,True,False
852,True,False
853,True,False
854,True,False
855,True,False
856,True,False
857,True,False
858,True,False
859,True,False
860,True,False
861,True,False
862,True,False
863,True,False
864,True,False
865,True,False
866,True,False
867,True,False
868,True,False
869,True,False
870,True,False
871,True,False
872,True,False
873,True,False
874,True,False
875,True,False
876,True,False
877,True,False
878,True,False
879,True,False
880,True,False
881,True,False
882,True,False
883,True,False
884,True,False
885,True,False
886,True,False
887,True,False
888,True,False
889,True,False
890,True,False
891,True,False
892,True,False
893,True,False
894,True,False
895,True,False
896,True,False
897,True,False
898,True,False
899,True,False
900,True,False
901,True,False
902,True,False
903,True,False
904,True,False
905,True,False
906,True,False
907,True,False
908,True,False
909,True,False
910,True,False
911,True,False
912,True,False
913,True,False
914,True,False
915,True,False
916,True,False
917,True,False
918,True,False
919,True,False
920,True,False
921,True,False
922,True,False
923,True,False
924,True,False
925,True,False
926,True,False
927,True,False
928,True,False
929,True,False
930,True,False
931,True,False
932,True,False
933,True,False
934,True,False
935,True,False
936,True,False
937,True,False
938,True,False
939,True,False
940,True,False
941,True,False
942,True,False
943,True,False
944,True,False
945,True,False
946,True,False
947,True,False
948,True,False
949,True,False
950,True,False
951,True,False
952,True,False
953,True,False
954,True,False
955,True,False
956,True,False
957,True,False
958,True,False
959,True,False
960,True,False
961,True,False
962,True,False
963,True,False
964,True,False
965,True,False
966,True,False
967,True,False
968,True,False
969,True,False
970,True,False
971,True,False
972,True,False
973,True,False
974,True,False
975,True,False
976,True,False
977,True,False
978,True,False
979,True,False
980,True,False
981,True,False
982,True,False
983,True,False
984,True,False
985,True,False
986,True,False
987,True,False
988,True,False
989,True,False
990,True,False
991,True,False
992,True,False
993,True,False
994,True,False
995,True,False
996,True,False
997,True,False
998,True,False
999,True,False
1000,True,False
1001,True,False
1002,True,False
1003,True,False
1004,True,False
1005,True,False
1006,True,False
1007,True,False
1008,True,False
1009,True,False
1010,True,False
1011,True,False
1012,True,False
1013,True,False
1014,True,False
1015,True,False
1016,True,False
