instant,atemp
1,-1.0932491497910213
2,-1.1816982677848686
3,-1.1816982677848686
4,-1.0932491497910213
5,-1.0932491497910213
6,-1.269565483686651
7,-1.1816982677848686
8,-1.269565483686651
9,-1.0932491497910213
10,-0.740616481999762
11,-0.47643293220234983
12,-0.8290655999936092
13,-0.30011659830671983
14,-0.12380026441109017
15,-0.12380026441109017
16,-0.21166748031287264
17,-0.30011659830671983
18,-0.21166748031287264
19,-0.30011659830671983
20,-0.30011659830671983
21,-0.3879838142085023
22,-0.3879838142085023
23,-0.3879838142085023
24,-0.12380026441109017
25,-0.12380026441109017
26,-0.21166748031287264
27,-0.30011659830671983
28,-0.12380026441109017
29,-0.12380026441109017
30,-0.30011659830671983
31,-0.3879838142085023
32,-0.3879838142085023
33,-0.47643293220234983
34,-0.740616481999762
35,-0.8290655999936092
36,-0.8290655999936092
37,-0.740616481999762
38,-0.740616481999762
39,-0.8290655999936092
40,-0.8290655999936092
41,-0.8290655999936092
42,-0.8290655999936092
43,-1.0932491497910213
44,-1.1816982677848686
45,-1.4458818175822807
46,-1.5343309355761279
47,-1.4458818175822807
48,-1.6221981514779105
49,-1.7985144853735404
50,-1.9748308192691701
51,-1.9748308192691701
52,-2.1511471531648
53,-1.9748308192691701
54,-2.063279937263017
55,-1.9748308192691701
56,-1.7985144853735404
57,-1.7106472694717578
58,-1.5343309355761279
59,-1.5343309355761279
60,-1.3580146016804981
61,-1.3580146016804981
62,-1.3580146016804981
63,-1.4458818175822807
64,-1.269565483686651
65,-1.269565483686651
66,-1.4458818175822807
67,-1.6221981514779105
68,-1.8869636033673876
69,-1.5343309355761279
70,-1.7106472694717578
71,-1.7106472694717578
72,-1.8869636033673876
73,-1.7106472694717578
74,-1.8869636033673876
75,-1.8869636033673876
76,-1.8869636033673876
77,-1.8869636033673876
78,-1.8869636033673876
79,-1.9748308192691701
80,-1.5343309355761279
81,-1.4458818175822807
82,-1.4458818175822807
83,-1.269565483686651
84,-1.1816982677848686
85,-1.0932491497910213
86,-1.1816982677848686
87,-1.269565483686651
88,-1.269565483686651
89,-1.269565483686651
90,-1.1816982677848686
91,-1.269565483686651
92,-1.4458818175822807
93,-1.269565483686651
94,-1.6221981514779105
95,-1.6221981514779105
96,-1.4458818175822807
97,-1.4458818175822807
98,-1.6221981514779105
99,-1.7106472694717578
100,-1.7106472694717578
101,-1.6221981514779105
102,-1.6221981514779105
103,-1.4458818175822807
104,-1.4458818175822807
105,-1.269565483686651
106,-1.0932491497910213
107,-1.0932491497910213
108,-0.9169328158953917
109,-1.4458818175822807
110,-1.3580146016804981
111,-1.269565483686651
112,-1.4458818175822807
113,-1.6221981514779105
114,-1.6221981514779105
115,-1.269565483686651
116,-1.3580146016804981
117,-1.4458818175822807
118,-1.4458818175822807
119,-1.6221981514779105
120,-1.7106472694717578
121,-1.7985144853735404
122,-1.4458818175822807
123,-1.4458818175822807
124,-1.3580146016804981
125,-1.269565483686651
126,-1.269565483686651
127,-1.0932491497910213
128,-1.1816982677848686
129,-1.1816982677848686
130,-1.1816982677848686
131,-1.269565483686651
132,-1.4458818175822807
133,-1.4458818175822807
134,-1.269565483686651
135,-1.5343309355761279
136,-1.5343309355761279
137,-1.5343309355761279
138,-1.6221981514779105
139,-1.6221981514779105
140,-1.6221981514779105
141,-1.6221981514779105
142,-1.5343309355761279
143,-1.1816982677848686
144,-1.269565483686651
145,-1.5343309355761279
146,-1.6221981514779105
147,-1.7106472694717578
148,-1.6221981514779105
149,-1.6221981514779105
150,-1.6221981514779105
151,-1.7106472694717578
152,-1.6221981514779105
153,-1.5343309355761279
154,-1.5343309355761279
155,-1.269565483686651
156,-1.4458818175822807
157,-1.6221981514779105
158,-1.5343309355761279
159,-1.6221981514779105
160,-1.6221981514779105
161,-1.6221981514779105
162,-1.6221981514779105
163,-1.5343309355761279
164,-1.3580146016804981
165,-1.6221981514779105
166,-1.6221981514779105
167,-1.7985144853735404
168,-1.7985144853735404
169,-1.7106472694717578
170,-1.7106472694717578
171,-1.7106472694717578
172,-1.6221981514779105
173,-1.7106472694717578
174,-1.7106472694717578
175,-1.7106472694717578
176,-1.7985144853735404
177,-1.7985144853735404
178,-1.9748308192691701
179,-2.063279937263017
180,-2.063279937263017
181,-2.063279937263017
182,-2.063279937263017
183,-2.1511471531648
184,-2.1511471531648
185,-2.4159126050542765
186,-2.3274634870604296
187,-2.4159126050542765
188,-2.4159126050542765
189,-2.3274634870604296
190,-2.239596271158647
191,-2.239596271158647
192,-2.239596271158647
193,-2.239596271158647
194,-2.239596271158647
195,-2.3274634870604296
196,-2.1511471531648
197,-2.063279937263017
198,-1.9748308192691701
199,-1.7985144853735404
200,-1.7106472694717578
201,-1.6221981514779105
202,-1.7985144853735404
203,-1.8869636033673876
204,-1.9748308192691701
205,-1.9748308192691701
206,-2.063279937263017
207,-2.1511471531648
208,-2.063279937263017
209,-1.9748308192691701
210,-2.063279937263017
211,-2.063279937263017
212,-2.063279937263017
213,-2.063279937263017
214,-2.063279937263017
215,-2.1511471531648
216,-2.063279937263017
217,-2.063279937263017
218,-2.063279937263017
219,-2.063279937263017
220,-2.063279937263017
221,-1.9748308192691701
222,-1.7106472694717578
223,-1.7106472694717578
224,-1.6221981514779105
225,-1.6221981514779105
226,-1.5343309355761279
227,-1.4458818175822807
228,-1.6221981514779105
229,-1.7985144853735404
230,-1.7985144853735404
231,-1.9748308192691701
232,-1.8869636033673876
233,-1.8869636033673876
234,-1.7985144853735404
235,-1.8869636033673876
236,-1.8869636033673876
237,-1.7106472694717578
238,-1.7106472694717578
239,-1.4458818175822807
240,-1.5343309355761279
241,-1.6221981514779105
242,-1.5343309355761279
243,-1.5343309355761279
244,-1.4458818175822807
245,-1.4458818175822807
246,-1.4458818175822807
247,-1.6221981514779105
248,-1.8869636033673876
249,-1.8869636033673876
250,-1.7106472694717578
251,-1.4458818175822807
252,-1.8869636033673876
253,-1.6221981514779105
254,-1.7106472694717578
255,-1.6221981514779105
256,-1.6221981514779105
257,-1.7106472694717578
258,-1.8869636033673876
259,-1.8869636033673876
260,-1.8869636033673876
261,-1.8869636033673876
262,-1.7985144853735404
263,-1.9748308192691701
264,-1.7106472694717578
265,-1.7106472694717578
266,-1.8869636033673876
267,-1.6221981514779105
268,-1.7106472694717578
269,-1.7985144853735404
270,-1.6221981514779105
271,-1.7106472694717578
272,-1.8869636033673876
273,-1.8869636033673876
274,-1.9748308192691701
275,-1.9748308192691701
276,-2.063279937263017
