,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
0,False,False,False,False,False,True
1,False,False,False,False,False,True
2,False,False,False,False,False,True
3,False,False,False,False,False,True
4,False,False,False,False,False,True
5,False,False,False,False,False,True
6,False,False,False,False,False,True
7,False,False,False,False,False,True
8,False,False,False,False,False,True
9,False,False,False,False,False,True
10,False,False,False,False,False,True
11,False,False,False,False,False,True
12,False,False,False,False,False,True
13,False,False,False,False,False,True
14,False,False,False,False,False,True
15,False,False,False,False,False,True
16,False,False,False,False,False,True
17,False,False,False,False,False,True
18,False,False,False,False,False,True
19,False,False,False,False,False,True
20,False,False,False,False,False,True
21,False,False,False,False,False,True
22,False,False,False,False,False,True
23,False,False,False,False,False,True
24,False,False,False,False,False,False
25,False,False,False,False,False,False
26,False,False,False,False,False,False
27,False,False,False,False,False,False
28,False,False,False,False,False,False
29,False,False,False,False,False,False
30,False,False,False,False,False,False
31,False,False,False,False,False,False
32,False,False,False,False,False,False
33,False,False,False,False,False,False
34,False,False,False,False,False,False
35,False,False,False,False,False,False
36,False,False,False,False,False,False
37,False,False,False,False,False,False
38,False,False,False,False,False,False
39,False,False,False,False,False,False
40,False,False,False,False,False,False
41,False,False,False,False,False,False
42,False,False,False,False,False,False
43,False,False,False,False,False,False
44,False,False,False,False,False,False
45,False,False,False,False,False,False
46,False,False,False,False,False,False
47,True,False,False,False,False,False
48,True,False,False,False,False,False
49,True,False,False,False,False,False
50,True,False,False,False,False,False
51,True,False,False,False,False,False
52,True,False,False,False,False,False
53,True,False,False,False,False,False
54,True,False,False,False,False,False
55,True,False,False,False,False,False
56,True,False,False,False,False,False
57,True,False,False,False,False,False
58,True,False,False,False,False,False
59,True,False,False,False,False,False
60,True,False,False,False,False,False
61,True,False,False,False,False,False
62,True,False,False,False,False,False
63,True,False,False,False,False,False
64,True,False,False,False,False,False
65,True,False,False,False,False,False
66,True,False,False,False,False,False
67,True,False,False,False,False,False
68,True,False,False,False,False,False
69,False,True,False,False,False,False
70,False,True,False,False,False,False
71,False,True,False,False,False,False
72,False,True,False,False,False,False
73,False,True,False,False,False,False
74,False,True,False,False,False,False
75,False,True,False,False,False,False
76,False,True,False,False,False,False
77,False,True,False,False,False,False
78,False,True,False,False,False,False
79,False,True,False,False,False,False
80,False,True,False,False,False,False
81,False,True,False,False,False,False
82,False,True,False,False,False,False
83,False,True,False,False,False,False
84,False,True,False,False,False,False
85,False,True,False,False,False,False
86,False,True,False,False,False,False
87,False,True,False,False,False,False
88,False,True,False,False,False,False
89,False,True,False,False,False,False
90,False,True,False,False,False,False
91,False,True,False,False,False,False
92,False,False,True,False,False,False
93,False,False,True,False,False,False
94,False,False,True,False,False,False
95,False,False,True,False,False,False
96,False,False,True,False,False,False
97,False,False,True,False,False,False
98,False,False,True,False,False,False
99,False,False,True,False,False,False
100,False,False,True,False,False,False
101,False,False,True,False,False,False
102,False,False,True,False,False,False
103,False,False,True,False,False,False
104,False,False,True,False,False,False
105,False,False,True,False,False,False
106,False,False,True,False,False,False
107,False,False,True,False,False,False
108,False,False,True,False,False,False
109,False,False,True,False,False,False
110,False,False,True,False,False,False
111,False,False,True,False,False,False
112,False,False,True,False,False,False
113,False,False,True,False,False,False
114,False,False,True,False,False,False
115,False,False,False,True,False,False
116,False,False,False,True,False,False
117,False,False,False,True,False,False
118,False,False,False,True,False,False
119,False,False,False,True,False,False
120,False,False,False,True,False,False
121,False,False,False,True,False,False
122,False,False,False,True,False,False
123,False,False,False,True,False,False
124,False,False,False,True,False,False
125,False,False,False,True,False,False
126,False,False,False,True,False,False
127,False,False,False,True,False,False
128,False,False,False,True,False,False
129,False,False,False,True,False,False
130,False,False,False,True,False,False
131,False,False,False,True,False,False
132,False,False,False,True,False,False
133,False,False,False,True,False,False
134,False,False,False,True,False,False
135,False,False,False,True,False,False
136,False,False,False,True,False,False
137,False,False,False,True,False,False
138,False,False,False,False,True,False
139,False,False,False,False,True,False
140,False,False,False,False,True,False
141,False,False,False,False,True,False
142,False,False,False,False,True,False
143,False,False,False,False,True,False
144,False,False,False,False,True,False
145,False,False,False,False,True,False
146,False,False,False,False,True,False
147,False,False,False,False,True,False
148,False,False,False,False,True,False
149,False,False,False,False,True,False
150,False,False,False,False,True,False
151,False,False,False,False,True,False
152,False,False,False,False,True,False
153,False,False,False,False,True,False
154,False,False,False,False,True,False
155,False,False,False,False,True,False
156,False,False,False,False,True,False
157,False,False,False,False,True,False
158,False,False,False,False,True,False
159,False,False,False,False,True,False
160,False,False,False,False,True,False
161,False,False,False,False,False,True
162,False,False,False,False,False,True
163,False,False,False,False,False,True
164,False,False,False,False,False,True
165,False,False,False,False,False,True
